rule_sequence_id,rule_name,meet_subjects,gain_subjects,total_subjects,remain_subjects,cohort_id,database_id
0,Aged 18 or older,127,29,156,127,178,SIDIAP
0,Aged 18 or older,126,27,153,126,183,SIDIAP
